id,name,author,style,time,score,comment,image
186,爱爱爱,方大同,流行,2006-12,8.6,21227,https://img3.doubanio.com/view/subject/m/public/s1981880.jpg
187,世界,逃跑计划,摇滚,2011-12-31,9.0,21617,https://img1.doubanio.com/view/subject/m/public/s28104019.jpg
188,七天,盧廣仲,民谣,2009-10-30,7.8,21787,https://img3.doubanio.com/view/subject/m/public/s4039256.jpg
189,Nirvana,Nirvana,摇滚,2002-10-29,9.2,20107,https://img3.doubanio.com/view/subject/m/public/s3020073.jpg
190,A Rush of  Blood to the Head,Coldplay,流行,2002,8.6,21579,https://img3.doubanio.com/view/subject/m/public/s8904216.jpg
191,The Velvet Underground & Nico,The Velvet Underground,摇滚,1967-04,9.0,22260,https://img3.doubanio.com/view/subject/m/public/s1883423.jpg
192,Love The Way You Lie,Eminem,说唱,2010-08-20,9.3,21779,https://img1.doubanio.com/view/subject/m/public/s4420058.jpg
193,天空,王菲,流行,1994,9.3,21345,https://img3.doubanio.com/view/subject/m/public/s3681285.jpg
194,The Boat That Rocked,Original Soundtrack,原声,2009-03-30,9.2,19387,https://img3.doubanio.com/view/subject/m/public/s4194004.jpg
195,(What's The Story) Morning Glory?,Oasis,摇滚,1995,9.2,20962,https://img3.doubanio.com/view/subject/m/public/s1944493.jpg
196,PUSSY,陈绮贞,民谣,2007-02-08,8.7,20093,https://img3.doubanio.com/view/subject/m/public/s2144095.jpg
197,呼吸,Salyu,原声,2001,9.0,19795,https://img1.doubanio.com/view/subject/m/public/s2714357.jpg
198,Fallen,Evanescence,摇滚,2003,8.5,20329,https://img3.doubanio.com/view/subject/m/public/s2189392.jpg
199,黑豹,黑豹,摇滚,1992-12-01,9.1,20980,https://img3.doubanio.com/view/subject/m/public/s1401153.jpg
200,十年一刻,苏打绿,流行,2010-08-27,8.8,20574,https://img1.doubanio.com/view/subject/m/public/s4462549.jpg
201,恋爱的力量,梁静茹,流行,2003年3月,8.9,19957,https://img1.doubanio.com/view/subject/m/public/s1412559.jpg
202,Suede,Suede,摇滚,1993,8.9,20659,https://img3.doubanio.com/view/subject/m/public/s1496506.jpg
203,The Bends,Radiohead,摇滚,1995,9.1,21289,https://img1.doubanio.com/view/subject/m/public/s4713649.jpg
204,琵琶相,林海,轻音乐,2004,9.3,19548,https://img3.doubanio.com/view/subject/m/public/s4716282.jpg
205,？,陈奕迅,流行,2011-11-11,8.0,21525,https://img1.doubanio.com/view/subject/m/public/s6988468.jpg
206,少年故事,彭坦,流行,2007-07-23,8.0,20820,https://img3.doubanio.com/view/subject/m/public/s2616115.jpg
207,黑暗之光,雷光夏,民谣,2006-12-01,8.8,19627,https://img3.doubanio.com/view/subject/m/public/s1960062.jpg
208,我要我们在一起,范晓萱,流行,1999-11-1,8.7,19687,https://img3.doubanio.com/view/subject/m/public/s1432740.jpg
209,人生海海,五月天,摇滚,2001-07-06,9.2,20081,https://img1.doubanio.com/view/subject/m/public/s1945209.jpg
